"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2020"	"2020/01"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2020"	"2020/02"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2020"	"2020/03"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2020"	"2020/04"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2020"	"2020/05"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2020"	"2020/06"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2020"	"2020/07"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2020"	"2020/08"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2020"	"2020/09"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2020"	"2020/10"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2020"	"2020/11"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2020"	"2020/12"	28	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2021"	"2021/01"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2021"	"2021/02"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2021"	"2021/03"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2021"	"2021/05"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2021"	"2021/06"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2021"	"2021/07"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2021"	"2021/08"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2021"	"2021/09"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2021"	"2021/10"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2021"	"2021/11"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2021"	"2021/12"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2022"	"2022/01"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2022"	"2022/02"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2022"	"2022/03"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2022"	"2022/04"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2022"	"2022/05"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2022"	"2022/06"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2022"	"2022/07"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2022"	"2022/08"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2022"	"2022/09"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2022"	"2022/10"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2022"	"2022/11"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2022"	"2022/12"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2023 (provisional)"	"2023/01"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2023 (provisional)"	"2023/02"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2023 (provisional)"	"2023/03"	33	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2023 (provisional)"	"2023/04"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2023 (provisional)"	"2023/05"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2023 (provisional)"	"2023/06"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2023 (provisional)"	"2023/07"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2023 (provisional)"	"2023/08"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2023 (provisional)"	"2023/09"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2023 (provisional)"	"2023/10"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2023 (provisional)"	"2023/11"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2023 (provisional)"	"2023/12"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2024 (provisional)"	"2024/01"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2024 (provisional)"	"2024/02"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2024 (provisional)"	"2024/03"	17	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2024 (provisional)"	"2024/04"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2024 (provisional)"	"2024/05"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2024 (provisional)"	"2024/06"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2024 (provisional)"	"2024/07"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2024 (provisional)"	"2024/08"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2024 (provisional)"	"2024/09"	11	Not Applicable	Not Applicable
