"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - Injury Intent"	"UCD - Injury Intent Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"Unintentional"	"1"	48	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"Suicide"	"2"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"Non-Injury, no intent classified"	"9"	983	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"Unintentional"	"1"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"Suicide"	"2"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"Non-Injury, no intent classified"	"9"	947	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2020"	"2020/03"	"Unintentional"	"1"	55	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2020"	"2020/03"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2020"	"2020/03"	"Non-Injury, no intent classified"	"9"	931	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2020"	"2020/04"	"Unintentional"	"1"	49	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2020"	"2020/04"	"Non-Injury, no intent classified"	"9"	855	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"Unintentional"	"1"	60	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"Suicide"	"2"	16	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"Non-Injury, no intent classified"	"9"	880	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2020"	"2020/06"	"Unintentional"	"1"	55	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2020"	"2020/06"	"Suicide"	"2"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2020"	"2020/06"	"Non-Injury, no intent classified"	"9"	879	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"Unintentional"	"1"	50	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"Suicide"	"2"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"Non-Injury, no intent classified"	"9"	910	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"Unintentional"	"1"	57	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"Suicide"	"2"	20	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"Non-Injury, no intent classified"	"9"	966	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2020"	"2020/09"	"Unintentional"	"1"	57	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2020"	"2020/09"	"Suicide"	"2"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2020"	"2020/09"	"Non-Injury, no intent classified"	"9"	999	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"Unintentional"	"1"	61	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"Non-Injury, no intent classified"	"9"	942	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2020"	"2020/11"	"Unintentional"	"1"	55	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2020"	"2020/11"	"Suicide"	"2"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2020"	"2020/11"	"Non-Injury, no intent classified"	"9"	903	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2020"	"2020/12"	"Unintentional"	"1"	60	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2020"	"2020/12"	"Non-Injury, no intent classified"	"9"	931	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"Unintentional"	"1"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2021"	"2021/01"	"Non-Injury, no intent classified"	"9"	916	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021"	"2021/02"	"Unintentional"	"1"	62	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021"	"2021/02"	"Suicide"	"2"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2021"	"2021/02"	"Non-Injury, no intent classified"	"9"	911	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"Unintentional"	"1"	61	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"Suicide"	"2"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2021"	"2021/03"	"Non-Injury, no intent classified"	"9"	997	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021"	"2021/04"	"Unintentional"	"1"	39	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021"	"2021/04"	"Suicide"	"2"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2021"	"2021/04"	"Non-Injury, no intent classified"	"9"	961	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021"	"2021/05"	"Unintentional"	"1"	52	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021"	"2021/05"	"Suicide"	"2"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2021"	"2021/05"	"Non-Injury, no intent classified"	"9"	931	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021"	"2021/06"	"Unintentional"	"1"	56	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2021"	"2021/06"	"Non-Injury, no intent classified"	"9"	887	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"Unintentional"	"1"	72	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"Suicide"	"2"	14	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2021"	"2021/07"	"Non-Injury, no intent classified"	"9"	899	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"Unintentional"	"1"	45	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"Suicide"	"2"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2021"	"2021/08"	"Non-Injury, no intent classified"	"9"	1150	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021"	"2021/09"	"Unintentional"	"1"	46	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021"	"2021/09"	"Suicide"	"2"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2021"	"2021/09"	"Non-Injury, no intent classified"	"9"	1209	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"Unintentional"	"1"	67	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"Suicide"	"2"	23	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2021"	"2021/10"	"Non-Injury, no intent classified"	"9"	1056	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021"	"2021/11"	"Unintentional"	"1"	50	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2021"	"2021/11"	"Non-Injury, no intent classified"	"9"	980	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Dec., 2021"	"2021/12"	"Unintentional"	"1"	54	Not Applicable	Not Applicable
