"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	10	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Septicemia (A40-A41)"	"GR113-010"	28	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	17	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	487	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	11	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	49	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	17	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	29	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	120	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant melanoma of skin (C43)"	"GR113-028"	12	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of breast (C50)"	"GR113-029"	33	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	15	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	24	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	13	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	16	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	49	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	15	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Leukemia (C91-C95)"	"GR113-040"	26	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	64	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	17	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	73	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	18	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Malnutrition (E40-E46)"	"GR113-048"	18	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Parkinson disease (G20-G21)"	"GR113-051"	44	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Alzheimer disease (G30)"	"GR113-052"	86	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	725	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	563	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Hypertensive heart disease (I11)"	"GR113-056"	38	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	314	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	72	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	241	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	39	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	202	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other heart diseases (I26-I51)"	"GR113-064"	201	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Heart failure (I50)"	"GR113-067"	81	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	118	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	31	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	110	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	18	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	96	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Influenza (J09-J11)"	"GR113-077"	33	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Pneumonia (J12-J18)"	"GR113-078"	63	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	178	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Emphysema (J43)"	"GR113-084"	12	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	166	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	15	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	49	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	29	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Alcoholic liver disease (K70)"	"GR113-094"	18	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	11	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	54	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Renal failure (N17-N19)"	"GR113-100"	54	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	16	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	35	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"All other diseases (Residual) "	"GR113-111"	407	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	140	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	29	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	27	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	111	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Falls (W00-W19)"	"GR113-118"	45	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	44	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	17	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	48	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	26	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	22	Not Applicable	Not Applicable
	"Kansas"	"20"	"Jan., 2020"	"2020/01"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	10	Not Applicable	Not Applicable
	"Kansas"	"20"	"Feb., 2020"	"2020/02"	"#Septicemia (A40-A41)"	"GR113-010"	28	Not Applicable	Not Applicable
