"Notes"	"Residence State"	"Residence State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"< 1 year"	"0"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	70	109854	63.7
	"Idaho"	"16"	"28 years"	"28"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	123959	Unreliable
	"Idaho"	"16"	"30 years"	"30"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	126930	Unreliable
	"Idaho"	"16"	"31 years"	"31"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13	126808	Unreliable
	"Idaho"	"16"	"31 years"	"31"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	126808	Unreliable
	"Idaho"	"16"	"33 years"	"33"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	17	122822	Unreliable
	"Idaho"	"16"	"33 years"	"33"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	15	122822	Unreliable
	"Idaho"	"16"	"34 years"	"34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	14	122640	Unreliable
	"Idaho"	"16"	"34 years"	"34"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	10	122640	Unreliable
	"Idaho"	"16"	"35 years"	"35"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	18	123570	Unreliable
	"Idaho"	"16"	"35 years"	"35"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	15	123570	Unreliable
	"Idaho"	"16"	"36 years"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	16	124910	Unreliable
	"Idaho"	"16"	"36 years"	"36"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	124910	Unreliable
	"Idaho"	"16"	"37 years"	"37"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	16	125020	Unreliable
	"Idaho"	"16"	"37 years"	"37"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	11	125020	Unreliable
	"Idaho"	"16"	"38 years"	"38"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12	125126	Unreliable
