"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2018"	"2018"	31230	3572665	874.1	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2019"	"2019"	31745	3565287	890.4	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2020"	"2020"	37853	3557006	1064.2	0.2%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2021"	"2021"	34333	3605597	952.2	0.2%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2022"	"2022"	34583	3626205	953.7	0.2%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2023 (provisional)"	"2023"	32522	3626205	896.9	0.2%
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"2024 (provisional and partial)"	"2024"	27411	3626205	755.9	0.1%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"			229677	25179170	912.2	1.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2018"	"2018"	14715	1338404	1099.4	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2019"	"2019"	15065	1344212	1120.7	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2020"	"2020"	15740	1350141	1165.8	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2021"	"2021"	17269	1372247	1258.4	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2022"	"2022"	17364	1385340	1253.4	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2023 (provisional)"	"2023"	16750	1385340	1209.1	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"2024 (provisional and partial)"	"2024"	14039	1385340	1013.4	0.1%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"			110942	9561024	1160.4	0.5%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2018"	"2018"	59152	6902149	857.0	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2019"	"2019"	58630	6892503	850.6	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2020"	"2020"	68223	6893574	989.7	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2021"	"2021"	63115	6984723	903.6	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2022"	"2022"	63366	6981974	907.6	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2023 (provisional)"	"2023"	61171	6981974	876.1	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"2024 (provisional and partial)"	"2024"	50641	6981974	725.3	0.2%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"			424298	48618871	872.7	2.0%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2018"	"2018"	12774	1356458	941.7	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2019"	"2019"	12744	1359711	937.3	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2020"	"2020"	13700	1366275	1002.7	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2021"	"2021"	14198	1388992	1022.2	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2022"	"2022"	14515	1395231	1040.3	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2023 (provisional)"	"2023"	14146	1395231	1013.9	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"2024 (provisional and partial)"	"2024"	11973	1395231	858.1	0.1%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"			94050	9657129	973.9	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2018"	"2018"	10083	1057315	953.6	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2019"	"2019"	10256	1059361	968.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2020"	"2020"	11819	1057125	1118.0	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2021"	"2021"	11243	1095610	1026.2	0.1%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2022"	"2022"	10704	1093734	978.7	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2023 (provisional)"	"2023"	10435	1093734	954.1	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"	"2024 (provisional and partial)"	"2024"	8671	1093734	792.8	0.0%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Rhode Island"	"44"			73211	7550613	969.6	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2018"	"2018"	6027	626299	962.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2019"	"2019"	5956	623989	954.5	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2020"	"2020"	6459	623347	1036.2	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2021"	"2021"	6877	645570	1065.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2022"	"2022"	6971	647064	1077.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2023 (provisional)"	"2023"	6770	647064	1046.3	0.0%
	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"	"2024 (provisional and partial)"	"2024"	5669	647064	876.1	0.0%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"Vermont"	"50"			44729	4460397	1002.8	0.2%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2018"	"2018"	75765	8908520	850.5	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2019"	"2019"	75010	8882190	844.5	0.3%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2020"	"2020"	96003	8882371	1080.8	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2021"	"2021"	84032	9267130	906.8	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2022"	"2022"	81490	9261699	879.9	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2023 (provisional)"	"2023"	75367	9261699	813.7	0.4%
	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"	"2024 (provisional and partial)"	"2024"	62922	9261699	679.4	0.3%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"New Jersey"	"34"			550589	63725308	864.0	2.6%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2018"	"2018"	157183	19542209	804.3	0.7%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2019"	"2019"	156375	19453561	803.8	0.7%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2020"	"2020"	203341	19336776	1051.6	0.9%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2021"	"2021"	181360	19835913	914.3	0.8%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2022"	"2022"	173944	19677151	884.0	0.8%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2023 (provisional)"	"2023"	162173	19677151	824.2	0.8%
	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"	"2024 (provisional and partial)"	"2024"	135392	19677151	688.1	0.6%
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"New York"	"36"			1169768	137199912	852.6	5.4%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2018"	"2018"	134702	12807060	1051.8	0.6%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2019"	"2019"	133983	12801989	1046.6	0.6%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2020"	"2020"	155546	12783254	1216.8	0.7%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2021"	"2021"	155390	12964056	1198.6	0.7%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2022"	"2022"	147181	12972008	1134.6	0.7%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2023 (provisional)"	"2023"	138029	12972008	1064.1	0.6%
	"Census Region 1: Northeast"	"CENS-R1"	"Pennsylvania"	"42"	"2024 (provisional and partial)"	"2024"	112911	12972008	870.4	0.5%
