"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Residence State"	"Residence State Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2018"	"2018"	3080	3572665	86.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2019"	"2019"	3102	3565287	87.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2020"	"2020"	3403	3557006	95.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2021"	"2021"	3295	3605597	91.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2022"	"2022"	2959	3626205	81.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2023 (provisional)"	"2023"	2789	3626205	76.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Certain infectious and parasitic diseases"	"A00-B99"	"2024 (provisional and partial)"	"2024"	2080	3626205	57.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2018"	"2018"	7451	3572665	208.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2019"	"2019"	7558	3565287	212.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2020"	"2020"	7879	3557006	221.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2021"	"2021"	7659	3605597	212.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2022"	"2022"	7779	3626205	214.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2023 (provisional)"	"2023"	7515	3626205	207.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Neoplasms"	"C00-D48"	"2024 (provisional and partial)"	"2024"	6283	3626205	173.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2018"	"2018"	885	3572665	24.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2019"	"2019"	865	3565287	24.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2020"	"2020"	913	3557006	25.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2021"	"2021"	934	3605597	25.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2022"	"2022"	893	3626205	24.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2023 (provisional)"	"2023"	912	3626205	25.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"2024 (provisional and partial)"	"2024"	704	3626205	19.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2018"	"2018"	4090	3572665	114.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2019"	"2019"	4280	3565287	120.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2020"	"2020"	5546	3557006	155.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2021"	"2021"	4921	3605597	136.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2022"	"2022"	5043	3626205	139.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2023 (provisional)"	"2023"	4860	3626205	134.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	"2024 (provisional and partial)"	"2024"	3964	3626205	109.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2018"	"2018"	7862	3572665	220.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2019"	"2019"	8154	3565287	228.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2020"	"2020"	9100	3557006	255.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2021"	"2021"	7684	3605597	213.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2022"	"2022"	7936	3626205	218.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2023 (provisional)"	"2023"	7524	3626205	207.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Mental and behavioural disorders"	"F01-F99"	"2024 (provisional and partial)"	"2024"	5668	3626205	156.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2018"	"2018"	3049	3572665	85.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2019"	"2019"	3076	3565287	86.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2020"	"2020"	3933	3557006	110.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2021"	"2021"	3776	3605597	104.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2022"	"2022"	3847	3626205	106.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2023 (provisional)"	"2023"	3665	3626205	101.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the nervous system"	"G00-G98"	"2024 (provisional and partial)"	"2024"	3274	3626205	90.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2018"	"2018"	27	3572665	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2019"	"2019"	26	3565287	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2020"	"2020"	16	3557006	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2021"	"2021"	13	3605597	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2022"	"2022"	20	3626205	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2023 (provisional)"	"2023"	19	3626205	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the eye and adnexa"	"H00-H59"	"2024 (provisional and partial)"	"2024"	23	3626205	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2018"	"2018"	18129	3572665	507.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2019"	"2019"	18332	3565287	514.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2020"	"2020"	20211	3557006	568.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2021"	"2021"	17955	3605597	498.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2022"	"2022"	17513	3626205	483.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2023 (provisional)"	"2023"	15321	3626205	422.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the circulatory system"	"I00-I99"	"2024 (provisional and partial)"	"2024"	12498	3626205	344.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2018"	"2018"	8684	3572665	243.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2019"	"2019"	8579	3565287	240.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2020"	"2020"	11703	3557006	329.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2021"	"2021"	9491	3605597	263.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2022"	"2022"	8443	3626205	232.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2023 (provisional)"	"2023"	7099	3626205	195.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the respiratory system"	"J00-J98"	"2024 (provisional and partial)"	"2024"	5837	3626205	161.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2018"	"2018"	2401	3572665	67.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2019"	"2019"	2478	3565287	69.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2020"	"2020"	2774	3557006	78.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2021"	"2021"	2704	3605597	75.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2022"	"2022"	2764	3626205	76.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2023 (provisional)"	"2023"	2682	3626205	74.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the digestive system"	"K00-K92"	"2024 (provisional and partial)"	"2024"	2166	3626205	59.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2018"	"2018"	262	3572665	7.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2019"	"2019"	271	3565287	7.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2020"	"2020"	250	3557006	7.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2021"	"2021"	229	3605597	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"2022"	"2022"	316	3626205	8.7
