"Notes"	"Residence State"	"Residence State Code"	"Place of Death"	"Place of Death Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Septicemia (A40-A41)"	"GR113-010"	540	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2805	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	285	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Alzheimer disease (G30)"	"GR113-052"	82	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3131	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1292	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	858	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	454	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	457	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	400	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	251	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Inpatient"	"1"	"#COVID-19 (U07.1)"	"GR113-137"	1252	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Septicemia (A40-A41)"	"GR113-010"	51	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	375	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	274	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Alzheimer disease (G30)"	"GR113-052"	22	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1671	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	141	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	62	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	133	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	37	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	59	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Medical Facility - Outpatient or ER"	"2"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	141	Not Applicable	Not Applicable
