"Notes"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	294	3565315	8.2
	"Hawaii"	"15"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	5706	3565315	160.0
	"Hawaii"	"15"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	763	3565315	21.4
	"Hawaii"	"15"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	1904	3565315	53.4
	"Hawaii"	"15"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	5389	3565315	151.2
	"Hawaii"	"15"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	2377	3565315	66.7
	"Hawaii"	"15"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	546	3565315	15.3
	"Hawaii"	"15"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	791	3565315	22.2
	"Hawaii"	"15"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	410	3565315	11.5
	"Hawaii"	"15"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	580	3565315	16.3
	"Hawaii"	"15"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	593	3565315	16.6
	"Hawaii"	"15"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	722	3565315	20.3
	"Hawaii"	"15"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	361	3603832	10.0
	"Hawaii"	"15"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6660	3603832	184.8
	"Hawaii"	"15"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	909	3603832	25.2
	"Hawaii"	"15"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	785	3603832	21.8
	"Hawaii"	"15"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	7877	3603832	218.6
	"Hawaii"	"15"	"Male"	"M"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1892	3603832	52.5
	"Hawaii"	"15"	"Male"	"M"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	658	3603832	18.3
	"Hawaii"	"15"	"Male"	"M"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1009	3603832	28.0
	"Hawaii"	"15"	"Male"	"M"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	490	3603832	13.6
	"Hawaii"	"15"	"Male"	"M"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	693	3603832	19.2
	"Hawaii"	"15"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	672	3603832	18.6
	"Hawaii"	"15"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	1054	3603832	29.2
	"Idaho"	"16"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	331	4738778	7.0
	"Idaho"	"16"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	7062	4738778	149.0
	"Idaho"	"16"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	935	4738778	19.7
	"Idaho"	"16"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	2538	4738778	53.6
	"Idaho"	"16"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	7030	4738778	148.4
	"Idaho"	"16"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	2124	4738778	44.8
	"Idaho"	"16"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	424	4738778	8.9
	"Idaho"	"16"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2226	4738778	47.0
	"Idaho"	"16"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	513	4738778	10.8
	"Idaho"	"16"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	375	4738778	7.9
	"Idaho"	"16"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	461	4738778	9.7
	"Idaho"	"16"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	2025	4738778	42.7
	"Idaho"	"16"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	272	4806157	5.7
	"Idaho"	"16"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	8371	4806157	174.2
	"Idaho"	"16"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1347	4806157	28.0
	"Idaho"	"16"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	1300	4806157	27.0
	"Idaho"	"16"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	9183	4806157	191.1
	"Idaho"	"16"	"Male"	"M"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1656	4806157	34.5
	"Idaho"	"16"	"Male"	"M"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	395	4806157	8.2
	"Idaho"	"16"	"Male"	"M"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	2173	4806157	45.2
	"Idaho"	"16"	"Male"	"M"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	613	4806157	12.8
	"Idaho"	"16"	"Male"	"M"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	438	4806157	9.1
	"Idaho"	"16"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	441	4806157	9.2
	"Idaho"	"16"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	2890	4806157	60.1
	"Illinois"	"17"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	4420	31868505	13.9
	"Illinois"	"17"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	55194	31868505	173.2
	"Illinois"	"17"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	6818	31868505	21.4
	"Illinois"	"17"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	13603	31868505	42.7
	"Illinois"	"17"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	57448	31868505	180.3
	"Illinois"	"17"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	19077	31868505	59.9
	"Illinois"	"17"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	4591	31868505	14.4
	"Illinois"	"17"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	13026	31868505	40.9
	"Illinois"	"17"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	3830	31868505	12.0
	"Illinois"	"17"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	6381	31868505	20.0
	"Illinois"	"17"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	3695	31868505	11.6
	"Illinois"	"17"	"Female"	"F"	"#COVID-19 (U07.1)"	"GR113-137"	16396	31868505	51.4
	"Illinois"	"17"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	4194	31136590	13.5
	"Illinois"	"17"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	58626	31136590	188.3
	"Illinois"	"17"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	8745	31136590	28.1
	"Illinois"	"17"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	5989	31136590	19.2
	"Illinois"	"17"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	69143	31136590	222.1
	"Illinois"	"17"	"Male"	"M"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	13916	31136590	44.7
	"Illinois"	"17"	"Male"	"M"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	4897	31136590	15.7
	"Illinois"	"17"	"Male"	"M"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11425	31136590	36.7
	"Illinois"	"17"	"Male"	"M"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	4125	31136590	13.2
	"Illinois"	"17"	"Male"	"M"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	6968	31136590	22.4
	"Illinois"	"17"	"Male"	"M"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	3826	31136590	12.3
	"Illinois"	"17"	"Male"	"M"	"#COVID-19 (U07.1)"	"GR113-137"	20491	31136590	65.8
	"Indiana"	"18"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	2303	17163956	13.4
	"Indiana"	"18"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	31433	17163956	183.1
	"Indiana"	"18"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	5092	17163956	29.7
	"Indiana"	"18"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	7914	17163956	46.1
	"Indiana"	"18"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	32836	17163956	191.3
	"Indiana"	"18"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	9404	17163956	54.8
	"Indiana"	"18"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	2182	17163956	12.7
	"Indiana"	"18"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	11256	17163956	65.6
