"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	41	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Alzheimer disease (G30)"	"GR113-052"	46	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	26	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	94	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	20	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	27	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	274	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	35	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Alzheimer disease (G30)"	"GR113-052"	40	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	248	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	65	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	101	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	23	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	21	Not Applicable	Not Applicable
