"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - Drug/Alcohol Induced"	"UCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"Drug-induced causes"	"D"	19	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jan., 2020"	"2020/01"	"All other non-drug and non-alcohol causes"	"O"	1028	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"Drug-induced causes"	"D"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"Alcohol-induced causes"	"A"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Feb., 2020"	"2020/02"	"All other non-drug and non-alcohol causes"	"O"	995	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2020"	"2020/03"	"Drug-induced causes"	"D"	31	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Mar., 2020"	"2020/03"	"All other non-drug and non-alcohol causes"	"O"	970	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2020"	"2020/04"	"Drug-induced causes"	"D"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2020"	"2020/04"	"Alcohol-induced causes"	"A"	11	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Apr., 2020"	"2020/04"	"All other non-drug and non-alcohol causes"	"O"	879	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"Drug-induced causes"	"D"	30	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"Alcohol-induced causes"	"A"	18	Not Applicable	Not Applicable
	"Hawaii"	"15"	"May, 2020"	"2020/05"	"All other non-drug and non-alcohol causes"	"O"	913	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2020"	"2020/06"	"Drug-induced causes"	"D"	29	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jun., 2020"	"2020/06"	"All other non-drug and non-alcohol causes"	"O"	916	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"Drug-induced causes"	"D"	26	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"Alcohol-induced causes"	"A"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Jul., 2020"	"2020/07"	"All other non-drug and non-alcohol causes"	"O"	949	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"Drug-induced causes"	"D"	27	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"Alcohol-induced causes"	"A"	10	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Aug., 2020"	"2020/08"	"All other non-drug and non-alcohol causes"	"O"	1013	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2020"	"2020/09"	"Drug-induced causes"	"D"	32	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Sep., 2020"	"2020/09"	"All other non-drug and non-alcohol causes"	"O"	1031	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"Drug-induced causes"	"D"	25	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"Alcohol-induced causes"	"A"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Oct., 2020"	"2020/10"	"All other non-drug and non-alcohol causes"	"O"	986	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Nov., 2020"	"2020/11"	"Drug-induced causes"	"D"	21	Not Applicable	Not Applicable
