"Notes"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	89	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Alzheimer disease (G30)"	"GR113-052"	35	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	103	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	47	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	21	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	15	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	91	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Alzheimer disease (G30)"	"GR113-052"	24	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	112	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	34	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	Not Applicable	Not Applicable
	"Hawaii"	"15"	"Female"	"F"	"Feb., 2020"	"2020/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	17	Not Applicable	Not Applicable
