"Notes"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Septicemia (A40-A41)"	"GR113-010"	55	702640	7.8
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1119	702640	159.3
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	154	702640	21.9
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Alzheimer disease (G30)"	"GR113-052"	415	702640	59.1
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1055	702640	150.1
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	468	702640	66.6
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	102	702640	14.5
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	167	702640	23.8
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	80	702640	11.4
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	97	702640	13.8
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	76	702640	10.8
	"Hawaii"	"15"	"Female"	"F"	"2020"	"2020"	"#COVID-19 (U07.1)"	"GR113-137"	131	702640	18.6
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Septicemia (A40-A41)"	"GR113-010"	65	716220	9.1
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1206	716220	168.4
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	152	716220	21.2
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Alzheimer disease (G30)"	"GR113-052"	396	716220	55.3
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	1072	716220	149.7
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	549	716220	76.7
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	88	716220	12.3
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	153	716220	21.4
	"Hawaii"	"15"	"Female"	"F"	"2021"	"2021"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	74	716220	10.3
