"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2018"	"2018/01"	49809	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2018"	"2018/02"	42412	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2018"	"2018/03"	44056	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2018"	"2018/04"	41723	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2018"	"2018/05"	40085	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2018"	"2018/06"	38683	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2018"	"2018/07"	39639	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2018"	"2018/08"	39245	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2018"	"2018/09"	38335	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2018"	"2018/10"	42444	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2018"	"2018/11"	41111	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2018"	"2018/12"	44089	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2019"	"2019/01"	46133	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2019"	"2019/02"	41358	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2019"	"2019/03"	45082	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2019"	"2019/04"	41044	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2019"	"2019/05"	40697	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2019"	"2019/06"	38906	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2019"	"2019/07"	39841	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2019"	"2019/08"	39481	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2019"	"2019/09"	38452	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2019"	"2019/10"	41722	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2019"	"2019/11"	41857	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2019"	"2019/12"	45191	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	46104	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	42564	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	51633	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	94088	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	57482	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2020"	"2020/06"	41440	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2020"	"2020/07"	41262	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2020"	"2020/08"	40725	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2020"	"2020/09"	40602	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2020"	"2020/10"	43244	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2020"	"2020/11"	47901	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2020"	"2020/12"	61639	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2021"	"2021/01"	61979	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2021"	"2021/02"	48665	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2021"	"2021/03"	47203	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2021"	"2021/04"	44403	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2021"	"2021/05"	43320	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2021"	"2021/06"	39739	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2021"	"2021/07"	41000	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2021"	"2021/08"	43714	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2021"	"2021/09"	44919	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2021"	"2021/10"	48290	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2021"	"2021/11"	48934	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2021"	"2021/12"	55651	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2022"	"2022/01"	64774	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2022"	"2022/02"	46390	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2022"	"2022/03"	44323	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2022"	"2022/04"	41296	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2022"	"2022/05"	43617	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2022"	"2022/06"	41130	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2022"	"2022/07"	42472	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2022"	"2022/08"	42505	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2022"	"2022/09"	41436	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2022"	"2022/10"	45679	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2022"	"2022/11"	45367	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2022"	"2022/12"	51129	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2023 (provisional)"	"2023/01"	49189	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2023 (provisional)"	"2023/02"	41997	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2023 (provisional)"	"2023/03"	44806	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2023 (provisional)"	"2023/04"	41757	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2023 (provisional)"	"2023/05"	42162	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2023 (provisional)"	"2023/06"	39778	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2023 (provisional)"	"2023/07"	40345	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2023 (provisional)"	"2023/08"	41041	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2023 (provisional)"	"2023/09"	40362	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2023 (provisional)"	"2023/10"	44471	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2023 (provisional)"	"2023/11"	43654	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Dec., 2023 (provisional)"	"2023/12"	47801	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2024 (provisional)"	"2024/01"	49738	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2024 (provisional)"	"2024/02"	42906	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2024 (provisional)"	"2024/03"	44197	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2024 (provisional)"	"2024/04"	41657	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2024 (provisional)"	"2024/05"	41189	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jun., 2024 (provisional)"	"2024/06"	39571	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jul., 2024 (provisional)"	"2024/07"	40442	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Aug., 2024 (provisional)"	"2024/08"	40682	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Sep., 2024 (provisional)"	"2024/09"	39359	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Oct., 2024 (provisional)"	"2024/10"	40759	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Nov., 2024 (provisional and partial)"	"2024/11"	9129	Not Applicable	Not Applicable
"Total"	"Census Region 1: Northeast"	"CENS-R1"			3675006	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"Jan., 2018"	"2018/01"	65615	Not Applicable	Not Applicable
