"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Septicemia (A40-A41)"	"GR113-010"	184	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1864	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	289	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Alzheimer disease (G30)"	"GR113-052"	298	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2634	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	397	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	313	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	543	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	179	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	210	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	129	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Septicemia (A40-A41)"	"GR113-010"	182	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2270	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	337	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Alzheimer disease (G30)"	"GR113-052"	463	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3165	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	541	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	405	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	592	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	193	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	221	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	178	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Septicemia (A40-A41)"	"GR113-010"	196	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2046	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	290	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Alzheimer disease (G30)"	"GR113-052"	402	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2643	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	492	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	455	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	584	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	213	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	228	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	151	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Septicemia (A40-A41)"	"GR113-010"	184	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2163	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	251	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Alzheimer disease (G30)"	"GR113-052"	354	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2698	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	492	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	489	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	574	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	191	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	221	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	137	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Septicemia (A40-A41)"	"GR113-010"	196	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2004	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	307	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Alzheimer disease (G30)"	"GR113-052"	361	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2594	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	472	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	491	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	556	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	202	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	202	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	145	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Septicemia (A40-A41)"	"GR113-010"	192	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2124	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	288	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Alzheimer disease (G30)"	"GR113-052"	346	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2785	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	512	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	442	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	613	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	177	Not Applicable	Not Applicable
