"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 01 ending January 06, 2018"	"2018/01"	9858	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 02 ending January 13, 2018"	"2018/02"	11996	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 03 ending January 20, 2018"	"2018/03"	10963	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 04 ending January 27, 2018"	"2018/04"	10960	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 05 ending February 03, 2018"	"2018/05"	10693	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 06 ending February 10, 2018"	"2018/06"	10929	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 07 ending February 17, 2018"	"2018/07"	10722	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 08 ending February 24, 2018"	"2018/08"	10297	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 09 ending March 03, 2018"	"2018/09"	10203	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 10 ending March 10, 2018"	"2018/10"	10042	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 11 ending March 17, 2018"	"2018/11"	9812	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 12 ending March 24, 2018"	"2018/12"	9967	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 13 ending March 31, 2018"	"2018/13"	9776	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 14 ending April 07, 2018"	"2018/14"	9884	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 15 ending April 14, 2018"	"2018/15"	9915	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 16 ending April 21, 2018"	"2018/16"	9825	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 17 ending April 28, 2018"	"2018/17"	9587	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 18 ending May 05, 2018"	"2018/18"	9547	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 19 ending May 12, 2018"	"2018/19"	8904	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 20 ending May 19, 2018"	"2018/20"	8749	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 21 ending May 26, 2018"	"2018/21"	9118	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 22 ending June 02, 2018"	"2018/22"	8845	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 23 ending June 09, 2018"	"2018/23"	9068	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 24 ending June 16, 2018"	"2018/24"	9064	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 25 ending June 23, 2018"	"2018/25"	9056	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 26 ending June 30, 2018"	"2018/26"	8906	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 27 ending July 07, 2018"	"2018/27"	9258	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 28 ending July 14, 2018"	"2018/28"	8996	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 29 ending July 21, 2018"	"2018/29"	8869	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 30 ending July 28, 2018"	"2018/30"	8803	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 31 ending August 04, 2018"	"2018/31"	8820	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 32 ending August 11, 2018"	"2018/32"	8773	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 33 ending August 18, 2018"	"2018/33"	8852	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 34 ending August 25, 2018"	"2018/34"	8880	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 35 ending September 01, 2018"	"2018/35"	8917	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 36 ending September 08, 2018"	"2018/36"	8843	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 37 ending September 15, 2018"	"2018/37"	8870	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 38 ending September 22, 2018"	"2018/38"	9074	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 39 ending September 29, 2018"	"2018/39"	8942	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 40 ending October 06, 2018"	"2018/40"	9489	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 41 ending October 13, 2018"	"2018/41"	9316	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 42 ending October 20, 2018"	"2018/42"	9624	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 43 ending October 27, 2018"	"2018/43"	9796	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 44 ending November 03, 2018"	"2018/44"	9731	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 45 ending November 10, 2018"	"2018/45"	9436	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 46 ending November 17, 2018"	"2018/46"	9489	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 47 ending November 24, 2018"	"2018/47"	9615	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 48 ending December 01, 2018"	"2018/48"	9768	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 49 ending December 08, 2018"	"2018/49"	10035	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 50 ending December 15, 2018"	"2018/50"	9908	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 51 ending December 22, 2018"	"2018/51"	10030	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week 52 ending December 29, 2018"	"2018/52"	9904	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2018 Week Not Available"	"2018/99"	156	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 01 ending January 05, 2019"	"2019/01"	10212	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 02 ending January 12, 2019"	"2019/02"	10134	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 03 ending January 19, 2019"	"2019/03"	10408	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 04 ending January 26, 2019"	"2019/04"	10708	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 05 ending February 02, 2019"	"2019/05"	10385	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 06 ending February 09, 2019"	"2019/06"	10582	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 07 ending February 16, 2019"	"2019/07"	10291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 08 ending February 23, 2019"	"2019/08"	10291	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 09 ending March 02, 2019"	"2019/09"	10185	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 10 ending March 09, 2019"	"2019/10"	10438	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 11 ending March 16, 2019"	"2019/11"	10179	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 12 ending March 23, 2019"	"2019/12"	10011	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 13 ending March 30, 2019"	"2019/13"	10077	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 14 ending April 06, 2019"	"2019/14"	9878	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 15 ending April 13, 2019"	"2019/15"	9800	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 16 ending April 20, 2019"	"2019/16"	9576	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 17 ending April 27, 2019"	"2019/17"	9123	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 18 ending May 04, 2019"	"2019/18"	9371	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 19 ending May 11, 2019"	"2019/19"	9159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 20 ending May 18, 2019"	"2019/20"	9292	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 21 ending May 25, 2019"	"2019/21"	9295	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 22 ending June 01, 2019"	"2019/22"	8895	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2019 Week 23 ending June 08, 2019"	"2019/23"	9231	Not Applicable	Not Applicable
