"Note"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	14	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Septicemia (A40-A41)"	"GR113-010"	168	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	17	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1)"	"GR113-018"	41	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2090	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	39	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	58	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	36	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	191	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	79	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	167	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	16	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	484	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant melanoma of skin (C43)"	"GR113-028"	36	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of breast (C50)"	"GR113-029"	133	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	17	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	35	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	49	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	126	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	47	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	53	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	42	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	211	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	77	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Leukemia (C91-C95)"	"GR113-040"	89	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	42	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	271	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	59	Not Applicable	Not Applicable
	"Illinois"	"17"	"Jan., 2020"	"2020/01"	"#Anemias (D50-D64)"	"GR113-045"	30	Not Applicable	Not Applicable
