"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	291	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	12	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	22	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	13	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	28	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	78	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of breast (C50)"	"GR113-029"	14	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	14	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	11	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	10	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	25	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Leukemia (C91-C95)"	"GR113-040"	11	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	29	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	41	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Parkinson disease (G20-G21)"	"GR113-051"	23	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Alzheimer disease (G30)"	"GR113-052"	46	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	369	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	291	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Hypertensive heart disease (I11)"	"GR113-056"	35	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	150	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	29	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	118	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	18	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	100	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Other heart diseases (I26-I51)"	"GR113-064"	98	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Heart failure (I50)"	"GR113-067"	23	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	74	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	11	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	52	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	15	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	26	Not Applicable	Not Applicable
	"Maine"	"23"	"Jan., 2020"	"2020/01"	"Pneumonia (J12-J18)"	"GR113-078"	20	Not Applicable	Not Applicable
