"Notes"	"Residence State"	"Residence State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Hawaii"	"15"	"< 1 year"	"0"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	56	79466	70.5
	"Hawaii"	"15"	"29 years"	"29"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	96876	Unreliable
	"Hawaii"	"15"	"31 years"	"31"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	100379	Unreliable
	"Hawaii"	"15"	"33 years"	"33"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	13	97850	Unreliable
	"Hawaii"	"15"	"34 years"	"34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13	97178	Unreliable
	"Hawaii"	"15"	"34 years"	"34"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	97178	Unreliable
	"Hawaii"	"15"	"35 years"	"35"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	16	98393	Unreliable
	"Hawaii"	"15"	"36 years"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	15	97797	Unreliable
	"Hawaii"	"15"	"36 years"	"36"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	97797	Unreliable
	"Hawaii"	"15"	"37 years"	"37"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	17	97740	Unreliable
	"Hawaii"	"15"	"37 years"	"37"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	22	97740	22.5
	"Hawaii"	"15"	"38 years"	"38"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	20	97547	20.5
	"Hawaii"	"15"	"38 years"	"38"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	22	97547	22.6
	"Hawaii"	"15"	"39 years"	"39"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	21	97821	21.5
	"Hawaii"	"15"	"39 years"	"39"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	97821	Unreliable
	"Hawaii"	"15"	"40 years"	"40"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	23	97848	23.5
	"Hawaii"	"15"	"40 years"	"40"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	23	97848	23.5
	"Hawaii"	"15"	"40 years"	"40"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	12	97848	Unreliable
	"Hawaii"	"15"	"41 years"	"41"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	34	93913	36.2
	"Hawaii"	"15"	"41 years"	"41"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	25	93913	26.6
	"Hawaii"	"15"	"42 years"	"42"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	18	92378	Unreliable
	"Hawaii"	"15"	"42 years"	"42"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	34	92378	36.8
	"Hawaii"	"15"	"43 years"	"43"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	32	88111	36.3
	"Hawaii"	"15"	"43 years"	"43"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	32	88111	36.3
	"Hawaii"	"15"	"44 years"	"44"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	39	85405	45.7
	"Hawaii"	"15"	"44 years"	"44"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	41	85405	48.0
	"Hawaii"	"15"	"44 years"	"44"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	10	85405	Unreliable
	"Hawaii"	"15"	"44 years"	"44"	"#COVID-19 (U07.1)"	"GR113-137"	10	85405	Unreliable
	"Hawaii"	"15"	"45 years"	"45"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	39	84230	46.3
	"Hawaii"	"15"	"45 years"	"45"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	42	84230	49.9
	"Hawaii"	"15"	"45 years"	"45"	"#COVID-19 (U07.1)"	"GR113-137"	14	84230	Unreliable
	"Hawaii"	"15"	"46 years"	"46"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	51	82196	62.0
	"Hawaii"	"15"	"46 years"	"46"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	16	82196	Unreliable
	"Hawaii"	"15"	"46 years"	"46"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	37	82196	45.0
	"Hawaii"	"15"	"46 years"	"46"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	12	82196	Unreliable
	"Hawaii"	"15"	"47 years"	"47"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	54	81721	66.1
	"Hawaii"	"15"	"47 years"	"47"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	51	81721	62.4
	"Hawaii"	"15"	"47 years"	"47"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	11	81721	Unreliable
	"Hawaii"	"15"	"48 years"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	46	81314	56.6
	"Hawaii"	"15"	"48 years"	"48"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	58	81314	71.3
	"Hawaii"	"15"	"48 years"	"48"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	14	81314	Unreliable
