"Notes"	"Residence State"	"Residence State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Indiana"	"18"	"< 1 year"	"0"	"#Septicemia (A40-A41)"	"GR113-010"	20	396835	5.0
	"Indiana"	"18"	"< 1 year"	"0"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	26	396835	6.6
	"Indiana"	"18"	"< 1 year"	"0"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	10	396835	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	23	396835	5.8
	"Indiana"	"18"	"< 1 year"	"0"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	24	396835	6.0
	"Indiana"	"18"	"< 1 year"	"0"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	296	396835	74.6
	"Indiana"	"18"	"< 1 year"	"0"	"#COVID-19 (U07.1)"	"GR113-137"	14	396835	Unreliable
	"Indiana"	"18"	"1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	21	395972	5.3
	"Indiana"	"18"	"4 years"	"4"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12	422564	Unreliable
	"Indiana"	"18"	"5 years"	"5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	427505	Unreliable
	"Indiana"	"18"	"6 years"	"6"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	435009	Unreliable
	"Indiana"	"18"	"9 years"	"9"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	435382	Unreliable
	"Indiana"	"18"	"11 years"	"11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	439239	Unreliable
	"Indiana"	"18"	"12 years"	"12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	450599	Unreliable
	"Indiana"	"18"	"13 years"	"13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	20	460958	4.3
	"Indiana"	"18"	"14 years"	"14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	470568	Unreliable
	"Indiana"	"18"	"15 years"	"15"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	468610	Unreliable
	"Indiana"	"18"	"17 years"	"17"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	17	462738	Unreliable
	"Indiana"	"18"	"18 years"	"18"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	21	439331	4.8
	"Indiana"	"18"	"19 years"	"19"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	16	474396	Unreliable
