"Notes"	"Residence State"	"Residence State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Kentucky"	"21"	"< 1 year"	"0"	"#Septicemia (A40-A41)"	"GR113-010"	12	259271	Unreliable
	"Kentucky"	"21"	"< 1 year"	"0"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	11	259271	Unreliable
	"Kentucky"	"21"	"< 1 year"	"0"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	281	259271	108.4
	"Kentucky"	"21"	"1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	13	259572	Unreliable
	"Kentucky"	"21"	"16 years"	"16"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	293513	Unreliable
	"Kentucky"	"21"	"20 years"	"20"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	293703	Unreliable
	"Kentucky"	"21"	"20 years"	"20"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	10	293703	Unreliable
	"Kentucky"	"21"	"21 years"	"21"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10	311012	Unreliable
	"Kentucky"	"21"	"21 years"	"21"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	10	311012	Unreliable
	"Kentucky"	"21"	"22 years"	"22"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13	313472	Unreliable
	"Kentucky"	"21"	"23 years"	"23"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	12	307612	Unreliable
	"Kentucky"	"21"	"24 years"	"24"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	298595	Unreliable
	"Kentucky"	"21"	"25 years"	"25"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	14	293844	Unreliable
	"Kentucky"	"21"	"25 years"	"25"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	14	293844	Unreliable
	"Kentucky"	"21"	"25 years"	"25"	"#COVID-19 (U07.1)"	"GR113-137"	10	293844	Unreliable
	"Kentucky"	"21"	"26 years"	"26"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	20	290785	6.9
	"Kentucky"	"21"	"26 years"	"26"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	15	290785	Unreliable
	"Kentucky"	"21"	"27 years"	"27"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11	293289	Unreliable
	"Kentucky"	"21"	"27 years"	"27"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	293289	Unreliable
	"Kentucky"	"21"	"27 years"	"27"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	22	293289	7.5
	"Kentucky"	"21"	"28 years"	"28"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	19	297549	Unreliable
	"Kentucky"	"21"	"28 years"	"28"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	18	297549	Unreliable
	"Kentucky"	"21"	"29 years"	"29"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	23	303131	7.6
	"Kentucky"	"21"	"29 years"	"29"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	34	303131	11.2
	"Kentucky"	"21"	"29 years"	"29"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	10	303131	Unreliable
