"Notes"	"Residence Census Region"	"Residence Census Region Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Certain infectious and parasitic diseases"	"A00-B99"	16	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Neoplasms"	"C00-D48"	298	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Mental and behavioural disorders"	"F01-F99"	137	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Diseases of the nervous system"	"G00-G98"	98	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Diseases of the circulatory system"	"I00-I99"	369	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Diseases of the respiratory system"	"J00-J98"	142	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Diseases of the digestive system"	"K00-K92"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Diseases of the genitourinary system"	"N00-N98"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	11	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Jan., 2020"	"2020/01"	"External causes of morbidity and mortality"	"V01-Y89"	131	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Certain infectious and parasitic diseases"	"A00-B99"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Neoplasms"	"C00-D48"	284	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	59	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Mental and behavioural disorders"	"F01-F99"	124	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Diseases of the nervous system"	"G00-G98"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Diseases of the circulatory system"	"I00-I99"	337	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Diseases of the respiratory system"	"J00-J98"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Diseases of the digestive system"	"K00-K92"	69	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"Diseases of the genitourinary system"	"N00-N98"	27	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Feb., 2020"	"2020/02"	"External causes of morbidity and mortality"	"V01-Y89"	120	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Certain infectious and parasitic diseases"	"A00-B99"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Neoplasms"	"C00-D48"	313	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	63	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Mental and behavioural disorders"	"F01-F99"	118	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Diseases of the nervous system"	"G00-G98"	87	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Diseases of the circulatory system"	"I00-I99"	335	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Diseases of the respiratory system"	"J00-J98"	153	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Diseases of the digestive system"	"K00-K92"	53	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"Diseases of the genitourinary system"	"N00-N98"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Mar., 2020"	"2020/03"	"External causes of morbidity and mortality"	"V01-Y89"	114	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Certain infectious and parasitic diseases"	"A00-B99"	19	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Neoplasms"	"C00-D48"	278	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	77	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Mental and behavioural disorders"	"F01-F99"	117	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Diseases of the nervous system"	"G00-G98"	93	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Diseases of the circulatory system"	"I00-I99"	325	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Diseases of the respiratory system"	"J00-J98"	128	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Diseases of the digestive system"	"K00-K92"	51	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Diseases of the genitourinary system"	"N00-N98"	24	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"Codes for special purposes"	"U00-U99"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Apr., 2020"	"2020/04"	"External causes of morbidity and mortality"	"V01-Y89"	112	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Certain infectious and parasitic diseases"	"A00-B99"	15	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Neoplasms"	"C00-D48"	286	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	66	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Mental and behavioural disorders"	"F01-F99"	86	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Diseases of the nervous system"	"G00-G98"	92	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Diseases of the circulatory system"	"I00-I99"	324	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Diseases of the respiratory system"	"J00-J98"	107	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Diseases of the digestive system"	"K00-K92"	60	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Diseases of the genitourinary system"	"N00-N98"	29	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"May, 2020"	"2020/05"	"Codes for special purposes"	"U00-U99"	43	Not Applicable	Not Applicable
