"State","Year","Month","Total_Deaths","Population","Abbreviation","Region","Annual_Mortality_Rate","Monthly_Mortality_Rate"
"Alabama",2020,1,4304,4921532,"AL","South",0.874524436699792,0.728770363916493
"Alabama",2020,2,5503,4921532,"AL","South",1.11814776374511,0.931789803120925
"Alabama",2020,3,4280,4921532,"AL","South",0.869647906383622,0.724706588653018
"Alabama",2020,4,4579,4921532,"AL","South",0.930401346572571,0.775334455477143
"Alabama",2020,5,5728,4921532,"AL","South",1.1638652354592,0.969887696216002
"Alabama",2020,6,4552,4921532,"AL","South",0.92491524996688,0.770762708305734
"Alabama",2020,7,5088,4921532,"AL","South",1.03382442702801,0.861520355856672
"Alabama",2020,8,6567,4921532,"AL","South",1.33434060776197,1.11195050646831
"Alabama",2020,9,4831,4921532,"AL","South",0.981604914892355,0.818004095743629
"Alabama",2020,10,5808,4921532,"AL","South",1.1801203365131,0.983433613760918
"Alabama",2020,11,5147,4921532,"AL","South",1.04581256405526,0.871510470046048
"Alabama",2020,12,6163,4921532,"AL","South",1.25225234743978,1.04354362286648
"Alabama",2021,1,8878,5039877,"AL","South",1.76155092673889,1.46795910561574
"Alabama",2021,2,5588,5039877,"AL","South",1.10875721768607,0.923964348071722
"Alabama",2021,3,4602,5039877,"AL","South",0.913117522510966,0.760931268759138
"Alabama",2021,4,4594,5039877,"AL","South",0.911530182185002,0.759608485154168
"Alabama",2021,5,5618,5039877,"AL","South",1.11470974390843,0.928924786590361
"Alabama",2021,6,4406,5039877,"AL","South",0.874227684524841,0.728523070437367
"Alabama",2021,7,5525,5039877,"AL","South",1.0962569126191,0.913547427182581
"Alabama",2021,8,5967,5039877,"AL","South",1.18395746562863,0.986631221357188
"Alabama",2021,9,6393,5039877,"AL","South",1.26848333798622,1.05706944832185
"Alabama",2021,10,6477,5039877,"AL","South",1.28515041140885,1.07095867617404
"Alabama",2021,11,4668,5039877,"AL","South",0.926213080200172,0.771844233500143
"Alabama",2021,12,4796,5039877,"AL","South",0.9516105254156,0.793008771179667
"Alabama",2022,1,7301,5074296,"AL","South",1.4388202816706,1.19901690139217
"Alabama",2022,2,6092,5074296,"AL","South",1.20056062949422,1.00046719124518
"Alabama",2022,3,4603,5074296,"AL","South",0.907120908989148,0.75593409082429
"Alabama",2022,4,5301,5074296,"AL","South",1.04467693646567,0.870564113721391
"Alabama",2022,5,4169,5074296,"AL","South",0.821591803079678,0.684659835899732
"Alabama",2022,6,4267,5074296,"AL","South",0.84090482699472,0.7007540224956
"Alabama",2022,7,5493,5074296,"AL","South",1.08251469760534,0.902095581337786
"Alabama",2022,8,4379,5074296,"AL","South",0.862976854326196,0.719147378605164
"Alabama",2022,9,4375,5074296,"AL","South",0.862188567635786,0.718490473029822
"Alabama",2022,10,5657,5074296,"AL","South",1.11483445191215,0.929028709926789
"Alabama",2022,11,4547,5074296,"AL","South",0.89608489532341,0.746737412769509
"Alabama",2022,12,6017,5074296,"AL","South",1.18578025404903,0.988150211707529
"Alabama",2023,1,4840,5074296,"AL","South",0.953826895395933,0.794855746163277
"Alabama",2023,2,4806,5074296,"AL","South",0.947126458527449,0.789272048772874
"Alabama",2023,3,4441,5074296,"AL","South",0.875195298027549,0.729329415022958
"Alabama",2023,4,5493,5074296,"AL","South",1.08251469760534,0.902095581337786
"Alabama",2023,5,4420,5074296,"AL","South",0.871056792902897,0.725880660752414
"Alabama",2023,6,4140,5074296,"AL","South",0.815876724574207,0.679897270478506
"Alabama",2023,7,5216,5074296,"AL","South",1.02792584429446,0.856604870245383
"Alabama",2023,8,4032,5074296,"AL","South",0.794592983933141,0.662160819944284
"Alabama",2023,9,2205,5074296,"AL","South",0.434543038088436,0.36211919840703
"Alaska",2020,1,390,731158,"AK","West",0.533400441491442,0.444500367909535
"Alaska",2020,2,433,731158,"AK","West",0.592211259399473,0.493509382832894
"Alaska",2020,3,326,731158,"AK","West",0.445868061349257,0.371556717791047
"Alaska",2020,4,323,731158,"AK","West",0.441764981030092,0.368137484191743
"Alaska",2020,5,439,731158,"AK","West",0.600417420037803,0.500347850031503
"Alaska",2020,6,349,731158,"AK","West",0.477325010462855,0.397770842052379
"Alaska",2020,7,367,731158,"AK","West",0.501943492377845,0.418286243648204
"Alaska",2020,8,498,731158,"AK","West",0.68111133298138,0.567592777484483
"Alaska",2020,9,410,731158,"AK","West",0.560754310285875,0.467295258571563
"Alaska",2020,10,505,731158,"AK","West",0.690685187059432,0.575570989216193
"Alaska",2020,11,464,731158,"AK","West",0.634609756030844,0.528841463359037
"Alaska",2020,12,467,731158,"AK","West",0.638712836350009,0.532260696958341
"Alaska",2021,1,537,732673,"AK","West",0.732932699853823,0.610777249878186
"Alaska",2021,2,362,732673,"AK","West",0.494081261353974,0.411734384461645
"Alaska",2021,3,377,732673,"AK","West",0.514554241796818,0.428795201497348
"Alaska",2021,4,370,732673,"AK","West",0.505000184256824,0.420833486880687
"Alaska",2021,5,513,732673,"AK","West",0.700175931145272,0.58347994262106
"Alaska",2021,6,372,732673,"AK","West",0.507729914982537,0.423108262485447
"Alaska",2021,7,530,732673,"AK","West",0.723378642313829,0.602815535261524
"Alaska",2021,8,544,732673,"AK","West",0.742486757393817,0.618738964494847
"Alaska",2021,9,562,732673,"AK","West",0.76705433392523,0.639211944937692
"Alaska",2021,10,823,732673,"AK","West",1.12328419363072,0.936070161358933
"Alaska",2021,11,550,732673,"AK","West",0.750675949570955,0.625563291309129
"Alaska",2021,12,506,732673,"AK","West",0.690621873605278,0.575518228004398
"Alaska",2022,1,597,733583,"AK","West",0.813813842469087,0.678178202057572
"Alaska",2022,2,426,733583,"AK","West",0.580711385078444,0.483926154232036
"Alaska",2022,3,410,733583,"AK","West",0.558900628831366,0.465750524026138
"Alaska",2022,4,484,733583,"AK","West",0.6597753764741,0.549812813728417
"Alaska",2022,5,387,733583,"AK","West",0.527547666726192,0.43962305560516
"Alaska",2022,6,442,733583,"AK","West",0.602522141325522,0.502101784437935
"Alaska",2022,7,549,733583,"AK","West",0.748381573727854,0.623651311439878
"Alaska",2022,8,420,733583,"AK","West",0.57253235148579,0.477110292904825
"Alaska",2022,9,416,733583,"AK","West",0.56707966242402,0.47256638535335
"Alaska",2022,10,525,733583,"AK","West",0.715665439357237,0.596387866131031
"Alaska",2022,11,408,733583,"AK","West",0.556174284300481,0.463478570250401
"Alaska",2022,12,591,733583,"AK","West",0.805634808876432,0.67136234073036
"Alaska",2023,1,446,733583,"AK","West",0.607974830387291,0.506645691989409
"Alaska",2023,2,432,733583,"AK","West",0.588890418671098,0.490742015559248
"Alaska",2023,3,393,733583,"AK","West",0.535726700318846,0.446438916932372
"Alaska",2023,4,513,733583,"AK","West",0.699307372171929,0.582756143476607
"Alaska",2023,5,378,733583,"AK","West",0.515279116337211,0.429399263614342
"Alaska",2023,6,407,733583,"AK","West",0.554811112035039,0.462342593362533
"Alaska",2023,7,436,733583,"AK","West",0.594343107732867,0.495285923110723
"Alaska",2023,8,297,733583,"AK","West",0.40486216283638,0.337385135696983
"Alaska",2023,9,104,733583,"AK","West",0.141769915606005,0.118141596338338
"Arizona",2020,1,5282,7421401,"AZ","West",0.71172545453345,0.593104545444542
"Arizona",2020,2,6538,7421401,"AZ","West",0.880965736792824,0.73413811399402
"Arizona",2020,3,5343,7421401,"AZ","West",0.719944926840633,0.599954105700527
"Arizona",2020,4,5460,7421401,"AZ","West",0.735710144216705,0.613091786847254
"Arizona",2020,5,6736,7421401,"AZ","West",0.907645335429254,0.756371112857711
"Arizona",2020,6,6029,7421401,"AZ","West",0.812380303934527,0.676983586612106
"Arizona",2020,7,7586,7421401,"AZ","West",1.02217896593918,0.851815804949317
"Arizona",2020,8,7876,7421401,"AZ","West",1.06125514576021,0.884379288133512
"Arizona",2020,9,5122,7421401,"AZ","West",0.690166182908052,0.57513848575671
"Arizona",2020,10,6273,7421401,"AZ","West",0.845258193163258,0.704381827636049
"Arizona",2020,11,5707,7421401,"AZ","West",0.768992269788413,0.640826891490344
"Arizona",2020,12,8003,7421401,"AZ","West",1.07836781761287,0.898639848010728
"Arizona",2021,1,11681,7276316,"AZ","West",1.60534534234082,1.33778778528402
"Arizona",2021,2,6803,7276316,"AZ","West",0.934951148355844,0.779125956963203
"Arizona",2021,3,5586,7276316,"AZ","West",0.767696180319821,0.639746816933184
"Arizona",2021,4,5189,7276316,"AZ","West",0.713135603236583,0.594279669363819
"Arizona",2021,5,6523,7276316,"AZ","West",0.896470136810991,0.747058447342492
"Arizona",2021,6,5381,7276316,"AZ","West",0.739522582581625,0.616268818818021
"Arizona",2021,7,6549,7276316,"AZ","West",0.900043373597298,0.750036144664415
"Arizona",2021,8,6066,7276316,"AZ","West",0.833663628682427,0.694719690568689
"Arizona",2021,9,6435,7276316,"AZ","West",0.88437610461118,0.736980087175983
"Arizona",2021,10,7796,7276316,"AZ","West",1.07142130715598,0.892851089296653
"Arizona",2021,11,6854,7276316,"AZ","West",0.941960189744371,0.784966824786976
"Arizona",2021,12,7667,7276316,"AZ","West",1.05369255540853,0.878077129507111
"Arizona",2022,1,9622,7359197,"AZ","West",1.30747960681036,1.08956633900864
"Arizona",2022,2,6970,7359197,"AZ","West",0.94711420281316,0.789261835677633
"Arizona",2022,3,5853,7359197,"AZ","West",0.795331338459889,0.662776115383241
"Arizona",2022,4,6587,7359197,"AZ","West",0.895070481195163,0.745892067662636
"Arizona",2022,5,5276,7359197,"AZ","West",0.716926045056274,0.597438370880229
"Arizona",2022,6,5283,7359197,"AZ","West",0.717877235790807,0.598231029825673
"Arizona",2022,7,6849,7359197,"AZ","West",0.930672191544811,0.775560159620676
"Arizona",2022,8,5168,7359197,"AZ","West",0.702250530866343,0.585208775721953
"Arizona",2022,9,5159,7359197,"AZ","West",0.701027571350516,0.584189642792096
"Arizona",2022,10,6383,7359197,"AZ","West",0.867350065503071,0.722791721252559
"Arizona",2022,11,5718,7359197,"AZ","West",0.776986945722475,0.647489121435396
"Arizona",2022,12,7851,7359197,"AZ","West",1.06682835097362,0.889023625811349
"Arizona",2023,1,5907,7359197,"AZ","West",0.802669095554855,0.668890912962379
