"state","year","month","total_deaths","population","abbreviation","region","monthly_mortality_rate"
"Alabama",2020,1,4304,4921532,"AL","South",0.728770363916493
"Alabama",2020,2,5503,4921532,"AL","South",0.931789803120925
"Alabama",2020,3,4280,4921532,"AL","South",0.724706588653018
"Alabama",2020,4,4579,4921532,"AL","South",0.775334455477143
"Alabama",2020,5,5728,4921532,"AL","South",0.969887696216002
"Alabama",2020,6,4552,4921532,"AL","South",0.770762708305734
"Alabama",2020,7,5088,4921532,"AL","South",0.861520355856672
"Alabama",2020,8,6567,4921532,"AL","South",1.11195050646831
"Alabama",2020,9,4831,4921532,"AL","South",0.818004095743629
"Alabama",2020,10,5808,4921532,"AL","South",0.983433613760918
"Alabama",2020,11,5147,4921532,"AL","South",0.871510470046048
"Alabama",2020,12,6163,4921532,"AL","South",1.04354362286648
"Alabama",2021,1,8878,5039877,"AL","South",1.46795910561574
"Alabama",2021,2,5588,5039877,"AL","South",0.923964348071722
"Alabama",2021,3,4602,5039877,"AL","South",0.760931268759138
"Alabama",2021,4,4594,5039877,"AL","South",0.759608485154168
"Alabama",2021,5,5618,5039877,"AL","South",0.928924786590361
"Alabama",2021,6,4406,5039877,"AL","South",0.728523070437367
"Alabama",2021,7,5525,5039877,"AL","South",0.913547427182581
"Alabama",2021,8,5967,5039877,"AL","South",0.986631221357188
"Alabama",2021,9,6393,5039877,"AL","South",1.05706944832185
"Alabama",2021,10,6477,5039877,"AL","South",1.07095867617404
"Alabama",2021,11,4668,5039877,"AL","South",0.771844233500143
"Alabama",2021,12,4796,5039877,"AL","South",0.793008771179667
"Alabama",2022,1,7301,5074296,"AL","South",1.19901690139217
"Alabama",2022,2,6092,5074296,"AL","South",1.00046719124518
"Alabama",2022,3,4603,5074296,"AL","South",0.75593409082429
"Alabama",2022,4,5301,5074296,"AL","South",0.870564113721391
"Alabama",2022,5,4169,5074296,"AL","South",0.684659835899732
"Alabama",2022,6,4267,5074296,"AL","South",0.7007540224956
"Alabama",2022,7,5493,5074296,"AL","South",0.902095581337786
"Alabama",2022,8,4379,5074296,"AL","South",0.719147378605164
"Alabama",2022,9,4375,5074296,"AL","South",0.718490473029822
"Alabama",2022,10,5657,5074296,"AL","South",0.929028709926789
"Alabama",2022,11,4547,5074296,"AL","South",0.746737412769509
"Alabama",2022,12,6017,5074296,"AL","South",0.988150211707529
"Alabama",2023,1,4840,5074296,"AL","South",0.794855746163277
"Alabama",2023,2,4806,5074296,"AL","South",0.789272048772874
"Alabama",2023,3,4441,5074296,"AL","South",0.729329415022958
"Alabama",2023,4,5493,5074296,"AL","South",0.902095581337786
"Alabama",2023,5,4420,5074296,"AL","South",0.725880660752414
"Alabama",2023,6,4140,5074296,"AL","South",0.679897270478506
"Alabama",2023,7,5216,5074296,"AL","South",0.856604870245383
"Alabama",2023,8,4032,5074296,"AL","South",0.662160819944284
"Alabama",2023,9,2205,5074296,"AL","South",0.36211919840703
"Alaska",2020,1,390,731158,"AK","West",0.444500367909535
"Alaska",2020,2,433,731158,"AK","West",0.493509382832894
"Alaska",2020,3,326,731158,"AK","West",0.371556717791047
"Alaska",2020,4,323,731158,"AK","West",0.368137484191743
"Alaska",2020,5,439,731158,"AK","West",0.500347850031503
"Alaska",2020,6,349,731158,"AK","West",0.397770842052379
"Alaska",2020,7,367,731158,"AK","West",0.418286243648204
"Alaska",2020,8,498,731158,"AK","West",0.567592777484483
"Alaska",2020,9,410,731158,"AK","West",0.467295258571563
"Alaska",2020,10,505,731158,"AK","West",0.575570989216193
"Alaska",2020,11,464,731158,"AK","West",0.528841463359037
"Alaska",2020,12,467,731158,"AK","West",0.532260696958341
"Alaska",2021,1,537,732673,"AK","West",0.610777249878186
"Alaska",2021,2,362,732673,"AK","West",0.411734384461645
"Alaska",2021,3,377,732673,"AK","West",0.428795201497348
"Alaska",2021,4,370,732673,"AK","West",0.420833486880687
"Alaska",2021,5,513,732673,"AK","West",0.58347994262106
"Alaska",2021,6,372,732673,"AK","West",0.423108262485447
"Alaska",2021,7,530,732673,"AK","West",0.602815535261524
"Alaska",2021,8,544,732673,"AK","West",0.618738964494847
"Alaska",2021,9,562,732673,"AK","West",0.639211944937692
"Alaska",2021,10,823,732673,"AK","West",0.936070161358933
"Alaska",2021,11,550,732673,"AK","West",0.625563291309129
"Alaska",2021,12,506,732673,"AK","West",0.575518228004398
"Alaska",2022,1,597,733583,"AK","West",0.678178202057572
"Alaska",2022,2,426,733583,"AK","West",0.483926154232036
"Alaska",2022,3,410,733583,"AK","West",0.465750524026138
"Alaska",2022,4,484,733583,"AK","West",0.549812813728417
"Alaska",2022,5,387,733583,"AK","West",0.43962305560516
"Alaska",2022,6,442,733583,"AK","West",0.502101784437935
"Alaska",2022,7,549,733583,"AK","West",0.623651311439878
"Alaska",2022,8,420,733583,"AK","West",0.477110292904825
"Alaska",2022,9,416,733583,"AK","West",0.47256638535335
"Alaska",2022,10,525,733583,"AK","West",0.596387866131031
"Alaska",2022,11,408,733583,"AK","West",0.463478570250401
"Alaska",2022,12,591,733583,"AK","West",0.67136234073036
"Alaska",2023,1,446,733583,"AK","West",0.506645691989409
"Alaska",2023,2,432,733583,"AK","West",0.490742015559248
"Alaska",2023,3,393,733583,"AK","West",0.446438916932372
"Alaska",2023,4,513,733583,"AK","West",0.582756143476607
"Alaska",2023,5,378,733583,"AK","West",0.429399263614342
"Alaska",2023,6,407,733583,"AK","West",0.462342593362533
"Alaska",2023,7,436,733583,"AK","West",0.495285923110723
"Alaska",2023,8,297,733583,"AK","West",0.337385135696983
"Alaska",2023,9,104,733583,"AK","West",0.118141596338338
"Arizona",2020,1,5282,7421401,"AZ","West",0.593104545444542
"Arizona",2020,2,6538,7421401,"AZ","West",0.73413811399402
"Arizona",2020,3,5343,7421401,"AZ","West",0.599954105700527
"Arizona",2020,4,5460,7421401,"AZ","West",0.613091786847254
"Arizona",2020,5,6736,7421401,"AZ","West",0.756371112857711
"Arizona",2020,6,6029,7421401,"AZ","West",0.676983586612106
"Arizona",2020,7,7586,7421401,"AZ","West",0.851815804949317
"Arizona",2020,8,7876,7421401,"AZ","West",0.884379288133512
"Arizona",2020,9,5122,7421401,"AZ","West",0.57513848575671
"Arizona",2020,10,6273,7421401,"AZ","West",0.704381827636049
"Arizona",2020,11,5707,7421401,"AZ","West",0.640826891490344
"Arizona",2020,12,8003,7421401,"AZ","West",0.898639848010728
"Arizona",2021,1,11681,7276316,"AZ","West",1.33778778528402
"Arizona",2021,2,6803,7276316,"AZ","West",0.779125956963203
"Arizona",2021,3,5586,7276316,"AZ","West",0.639746816933184
"Arizona",2021,4,5189,7276316,"AZ","West",0.594279669363819
"Arizona",2021,5,6523,7276316,"AZ","West",0.747058447342492
"Arizona",2021,6,5381,7276316,"AZ","West",0.616268818818021
"Arizona",2021,7,6549,7276316,"AZ","West",0.750036144664415
"Arizona",2021,8,6066,7276316,"AZ","West",0.694719690568689
"Arizona",2021,9,6435,7276316,"AZ","West",0.736980087175983
"Arizona",2021,10,7796,7276316,"AZ","West",0.892851089296653
"Arizona",2021,11,6854,7276316,"AZ","West",0.784966824786976
"Arizona",2021,12,7667,7276316,"AZ","West",0.878077129507111
"Arizona",2022,1,9622,7359197,"AZ","West",1.08956633900864
"Arizona",2022,2,6970,7359197,"AZ","West",0.789261835677633
"Arizona",2022,3,5853,7359197,"AZ","West",0.662776115383241
"Arizona",2022,4,6587,7359197,"AZ","West",0.745892067662636
"Arizona",2022,5,5276,7359197,"AZ","West",0.597438370880229
"Arizona",2022,6,5283,7359197,"AZ","West",0.598231029825673
"Arizona",2022,7,6849,7359197,"AZ","West",0.775560159620676
"Arizona",2022,8,5168,7359197,"AZ","West",0.585208775721953
"Arizona",2022,9,5159,7359197,"AZ","West",0.584189642792096
"Arizona",2022,10,6383,7359197,"AZ","West",0.722791721252559
"Arizona",2022,11,5718,7359197,"AZ","West",0.647489121435396
"Arizona",2022,12,7851,7359197,"AZ","West",0.889023625811349
"Arizona",2023,1,5907,7359197,"AZ","West",0.668890912962379
"Arizona",2023,2,5771,7359197,"AZ","West",0.653490682022328
"Arizona",2023,3,5601,7359197,"AZ","West",0.634240393347263
"Arizona",2023,4,7094,7359197,"AZ","West",0.80330322271121
"Arizona",2023,5,5209,7359197,"AZ","West",0.589851492402409
"Arizona",2023,6,4991,7359197,"AZ","West",0.565165828101445
"Arizona",2023,7,6697,7359197,"AZ","West",0.758348136805325
"Arizona",2023,8,4919,7359197,"AZ","West",0.557012764662594
"Arizona",2023,9,3128,7359197,"AZ","West",0.354205311621182
"Arkansas",2020,1,2632,3030522,"AR","South",0.723747701991054
"Arkansas",2020,2,3395,3030522,"AR","South",0.933557541132078
"Arkansas",2020,3,2606,3030522,"AR","South",0.716598218612723
"Arkansas",2020,4,2494,3030522,"AR","South",0.685800444059912
"Arkansas",2020,5,3126,3030522,"AR","South",0.859587886179345
"Arkansas",2020,6,2672,3030522,"AR","South",0.734746907188487
"Arkansas",2020,7,2757,3030522,"AR","South",0.758120218233031
"Arkansas",2020,8,3741,3030522,"AR","South",1.02870066608987
"Arkansas",2020,9,2917,3030522,"AR","South",0.80211703902276
"Arkansas",2020,10,3931,3030522,"AR","South",1.08094689077767
"Arkansas",2020,11,3447,3030522,"AR","South",0.94785650788874
"Arkansas",2020,12,3714,3030522,"AR","South",1.0212762025816
"Arkansas",2021,1,4751,3025891,"AR","South",1.30843003487788
"Arkansas",2021,2,3229,3025891,"AR","South",0.889269750078021
"Arkansas",2021,3,2804,3025891,"AR","South",0.772224335465708
"Arkansas",2021,4,2564,3025891,"AR","South",0.706128101331696
"Arkansas",2021,5,3360,3025891,"AR","South",0.925347277876169
"Arkansas",2021,6,2684,3025891,"AR","South",0.739176218398702
"Arkansas",2021,7,3663,3025891,"AR","South",1.00879377347036
"Arkansas",2021,8,3559,3025891,"AR","South",0.980152072012288
"Arkansas",2021,9,3383,3025891,"AR","South",0.931681500314012
"Arkansas",2021,10,3873,3025891,"AR","South",1.06662797833762
"Arkansas",2021,11,2972,3025891,"AR","South",0.818491699359516
"Arkansas",2021,12,3181,3025891,"AR","South",0.876050503251219
"Arkansas",2022,1,4398,3045637,"AR","South",1.20336074194003
"Arkansas",2022,2,3628,3045637,"AR","South",0.992676846693593
"Arkansas",2022,3,2910,3045637,"AR","South",0.796220954762501
"Arkansas",2022,4,3263,3045637,"AR","South",0.892807208037815
"Arkansas",2022,5,2654,3045637,"AR","South",0.726175399979271
"Arkansas",2022,6,2666,3045637,"AR","South",0.729458785359735
"Arkansas",2022,7,3314,3045637,"AR","South",0.906761595904787
"Arkansas",2022,8,2625,3045637,"AR","South",0.718240551976483
"Arkansas",2022,9,2693,3045637,"AR","South",0.736846402465779
"Arkansas",2022,10,3494,3045637,"AR","South",0.956012376611746
"Arkansas",2022,11,2835,3045637,"AR","South",0.775699796134602
"Arkansas",2022,12,3842,3045637,"AR","South",1.0512305526452
"Arkansas",2023,1,3009,3045637,"AR","South",0.823308884151329
"Arkansas",2023,2,2856,3045637,"AR","South",0.781445720550414
"Arkansas",2023,3,2751,3045637,"AR","South",0.752716098471354
"Arkansas",2023,4,3341,3045637,"AR","South",0.91414921301083
"Arkansas",2023,5,2593,3045637,"AR","South",0.709484857628579
"Arkansas",2023,6,2508,3045637,"AR","South",0.68622754451696
"Arkansas",2023,7,3235,3045637,"AR","South",0.885145975483399
"Arkansas",2023,8,2518,3045637,"AR","South",0.68896369900068
"Arkansas",2023,9,1646,3045637,"AR","South",0.450371028020301
"California",2020,1,23422,39368078,"CA","West",0.495790862163333
"California",2020,2,28664,39368078,"CA","West",0.606752167750396
"California",2020,3,22571,39368078,"CA","West",0.477777113392903
"California",2020,4,24102,39368078,"CA","West",0.510184926985767
"California",2020,5,28233,39368078,"CA","West",0.597628870782058
"California",2020,6,22278,39368078,"CA","West",0.471574964873825
"California",2020,7,24423,39368078,"CA","West",0.516979772291652
"California",2020,8,31295,39368078,"CA","West",0.662444497967787
"California",2020,9,22976,39368078,"CA","West",0.486350049059206
